_key,id,nome,porcao,base_unit,category_id,proteina,attributes/protein/unit,lipidio,attributes/lipid/unit,carboidrato,attributes/carbohydrate/unit,sodio,attributes/sodium/unit,caloria,attributes/energy/kj
180,181,"Banana, pacova, crua",100,g,3,1.22708333333333,g,0.079,g,20.3125833333333,g,0.938666666666667,mg,77.9095279250741,325.97346483851
181,182,"Banana, prata, crua",100,g,3,1.26811594202899,g,0.065,g,25.956884057971,g,Tr,mg,98.2497021739131,411.076753895652
182,183,"Cacau, cru",100,g,3,0.954166666666667,g,0.144,g,19.4111666666667,g,0.700333333333333,mg,74.29148,310.83555232
183,184,"Caja-Manga, cru",100,g,3,1.27916666666667,g,Tr,g,11.4341666666667,g,1.43866666666667,mg,45.5809687737227,190.710773349256
184,185,"Caja, polpa, congelada",100,g,3,0.589583333333333,g,0.167666666666667,g,6.37441666666666,g,6.945,mg,26.3322693110506,110.174214797436
185,186,"Caju, cru",100,g,3,0.971014492753623,g,0.33,g,10.2889888405797,g,2.96666666666667,mg,43.0650685217391,180.184246694956
186,187,"Caju, polpa, congelada",100,g,3,0.48125,g,0.154,g,9.35074999999999,g,4.16166666666667,mg,36.56868,153.00335712
187,188,"Caju, suco concentrado, envasado",100,g,3,0.404166666666667,g,0.2,g,10.7338333333333,g,45.0443333333333,mg,45.1086266666667,188.734493973333
188,189,"Caqui, chocolate, cru",100,g,3,0.35625,g,0.069333333333333,g,19.32575,g,2.18333333333333,mg,71.3500181116462,298.528475779128
189,190,"Carambola, crua",100,g,3,0.870833333333333,g,0.177,g,11.4815,g,4.09466666666667,mg,45.7408887934287,191.379878711706
190,191,"Ciriguela, crua",100,g,3,1.39791666666667,g,0.359666666666667,g,18.8574166666667,g,1.68233333333333,mg,75.59411,316.28575624
191,192,"Cupuacu, cru",100,g,3,1.16041666666667,g,0.951333333333333,g,10.4335833333333,g,3.196,mg,49.4225587743719,206.783985911972
192,193,"Cupuacu, polpa, congelada",100,g,3,0.84375,g,0.593666666666667,g,11.3869166666667,g,0.689,mg,48.79689,204.16618776
193,194,"Figo, cru",100,g,3,0.967391304347826,g,0.156666666666667,g,10.2459420289855,g,Tr,mg,41.4471260869565,173.414775547826
194,195,"Figo, enlatado, em calda",100,g,3,0.561594202898551,g,0.15,g,50.3384057971015,g,6.87,mg,184.360717391304,771.365241565217
195,196,"Fruta-pao, crua",100,g,3,1.08125,g,0.189333333333333,g,17.1744166666667,g,0.799333333333333,mg,67.04562,280.51887408
196,197,"Goiaba, branca, com casca, crua",100,g,3,0.898550724637681,g,0.486666666666667,g,12.4014492753623,g,Tr,mg,51.737747826087,216.470736904348
197,198,"Goiaba, doce em pasta",100,g,3,0.579710144927536,g,,,74.1236231884058,g,3.7,mg,268.959826086957,1125.32791234783
198,199,"Goiaba, doce, cascao",100,g,3,0.414583333333333,g,0.103333333333333,g,78.70275,g,11.0293333333333,mg,285.587792439004,1194.89932356479
199,200,"Goiaba, vermelha, com casca, crua",100,g,3,1.08695652173913,g,0.44,g,13.0097101449275,g,Tr,mg,54.1699304347826,226.646988939131
200,201,"Graviola, crua",100,g,3,0.845833333333333,g,0.21,g,15.8395,g,4.16,mg,61.6218983766636,257.82602280796
201,202,"Graviola, polpa, congelada",100,g,3,0.566666666666667,g,0.137666666666667,g,9.78266666666666,g,3.04633333333333,mg,38.27387,160.13787208
202,203,"Jabuticaba, crua",100,g,3,0.6125,g,0.128333333333333,g,15.2558333333333,g,Tr,mg,58.05315,242.8943796
203,204,"Jaca, crua",100,g,3,1.40208333333333,g,0.265,g,22.4975833333333,g,1.80166666666667,mg,87.92035,367.8587444
204,205,"Jambo, cru",100,g,3,0.885416666666667,g,0.066666666666667,g,6.49425,g,21.656,mg,26.9123,112.6010632
